room_type,date,price
Entire home/apt,2020-09-01,86.68054133970203
Entire home/apt,2020-09-02,86.63436824746958
Entire home/apt,2020-09-03,87.31377231889003
Entire home/apt,2020-09-04,90.38064369384738
Entire home/apt,2020-09-05,91.08722847719777
Entire home/apt,2020-09-06,88.47651540998521
Entire home/apt,2020-09-07,87.72125554418287
Entire home/apt,2020-09-08,87.77561696804275
Entire home/apt,2020-09-09,87.96349368816104
Entire home/apt,2020-09-10,88.0992835209826
Entire home/apt,2020-09-11,90.70681223700672
Entire home/apt,2020-09-12,90.75798930967815
Entire home/apt,2020-09-13,88.05094961901513
Entire home/apt,2020-09-14,87.76595018764927
Entire home/apt,2020-09-15,87.83907653815535
Entire home/apt,2020-09-16,88.07437734561583
Entire home/apt,2020-09-17,88.48299783919026
Entire home/apt,2020-09-18,91.62617991584214
Entire home/apt,2020-09-19,91.78733083134311
Entire home/apt,2020-09-20,89.0330945069942
Entire home/apt,2020-09-21,89.15023313999772
Entire home/apt,2020-09-22,89.00170590242239
Entire home/apt,2020-09-23,89.1219151597862
Entire home/apt,2020-09-24,90.36119640623222
Entire home/apt,2020-09-25,93.47651540998521
Entire home/apt,2020-09-26,93.79642897759581
Entire home/apt,2020-09-27,90.30581144091892
Entire home/apt,2020-09-28,89.0661890139884
Entire home/apt,2020-09-29,88.64960764244285
Entire home/apt,2020-09-30,88.59024223814397
Entire home/apt,2020-10-01,89.59581485272376
Entire home/apt,2020-10-02,92.16308427157966
Entire home/apt,2020-10-03,92.35209825997953
Entire home/apt,2020-10-04,89.63300352553168
Entire home/apt,2020-10-05,89.34550210394632
Entire home/apt,2020-10-06,89.41624019106108
Entire home/apt,2020-10-07,89.40338905947912
Entire home/apt,2020-10-08,89.72887524166951
Entire home/apt,2020-10-09,92.1232798817241
Entire home/apt,2020-10-10,92.2322301831002
Entire home/apt,2020-10-11,89.71738883202548
Entire home/apt,2020-10-12,89.60889343796201
Entire home/apt,2020-10-13,89.69111793472081
Entire home/apt,2020-10-14,89.67451381780963
Entire home/apt,2020-10-15,89.8877516206073
Entire home/apt,2020-10-16,92.38155350847265
Entire home/apt,2020-10-17,92.42351870806323
Entire home/apt,2020-10-18,89.6100307062436
Entire home/apt,2020-10-19,89.32776071875355
Entire home/apt,2020-10-20,89.46980552712385
Entire home/apt,2020-10-21,89.49869214147617
Entire home/apt,2020-10-22,89.8027976799727
Entire home/apt,2020-10-23,92.1213465256454
Entire home/apt,2020-10-24,92.34732173319686
Entire home/apt,2020-10-25,89.74934607073808
Entire home/apt,2020-10-26,89.65210963266235
Entire home/apt,2020-10-27,89.7184123734789
Entire home/apt,2020-10-28,89.78710337768679
Entire home/apt,2020-10-29,89.83464119185716
Entire home/apt,2020-10-30,92.2426930512908
Entire home/apt,2020-10-31,92.30865461162288
Entire home/apt,2020-11-01,88.38644376208347
Entire home/apt,2020-11-02,87.96372114181736
Entire home/apt,2020-11-03,88.01478448766063
Entire home/apt,2020-11-04,88.03662003866712
Entire home/apt,2020-11-05,88.26805413397021
Entire home/apt,2020-11-06,90.65677243261685
Entire home/apt,2020-11-07,90.6709882861367
Entire home/apt,2020-11-08,88.15591948140566
Entire home/apt,2020-11-09,87.863186625725
Entire home/apt,2020-11-10,87.92835209825998
Entire home/apt,2020-11-11,87.92437165927443
Entire home/apt,2020-11-12,88.19549641760491
Entire home/apt,2020-11-13,90.64141931081542
Entire home/apt,2020-11-14,90.66461958375982
Entire home/apt,2020-11-15,88.12339360855226
Entire home/apt,2020-11-16,87.79767997270557
Entire home/apt,2020-11-17,87.83373137723189
Entire home/apt,2020-11-18,87.8979870351416
Entire home/apt,2020-11-19,88.13897418401001
Entire home/apt,2020-11-20,90.58762652109633
Entire home/apt,2020-11-21,90.60957579893096
Entire home/apt,2020-11-22,88.15364494484248
Entire home/apt,2020-11-23,87.9084499033322
Entire home/apt,2020-11-24,87.9922665756852
Entire home/apt,2020-11-25,88.09234618446492
Entire home/apt,2020-11-26,88.37598089389287
Entire home/apt,2020-11-27,90.94359149323326
Entire home/apt,2020-11-28,90.94188559081087
Entire home/apt,2020-11-29,88.27521892414421
Entire home/apt,2020-11-30,88.03764358012054
Entire home/apt,2020-12-01,88.26361878767202
Entire home/apt,2020-12-02,88.33742749914705
Entire home/apt,2020-12-03,88.4911861708177
Entire home/apt,2020-12-04,91.18594336403957
Entire home/apt,2020-12-05,91.2024337541226
Entire home/apt,2020-12-06,88.66734902763562
Entire home/apt,2020-12-07,88.29057204594564
Entire home/apt,2020-12-08,88.35130217218241
Entire home/apt,2020-12-09,88.29637211418174
Entire home/apt,2020-12-10,88.63095644262482
Entire home/apt,2020-12-11,91.19765722733993
Entire home/apt,2020-12-12,91.27476401683157
Entire home/apt,2020-12-13,88.70294552484931
Entire home/apt,2020-12-14,88.40065961560332
Entire home/apt,2020-12-15,88.51552371204367
Entire home/apt,2020-12-16,88.56931650176277
Entire home/apt,2020-12-17,88.87046514272717
Entire home/apt,2020-12-18,91.70101216877062
Entire home/apt,2020-12-19,91.92289321050836
Entire home/apt,2020-12-20,89.71716137836916
Entire home/apt,2020-12-21,89.97691345388377
Entire home/apt,2020-12-22,90.62993290117139
Entire home/apt,2020-12-23,91.67565108609121
Entire home/apt,2020-12-24,92.85067667462755
Entire home/apt,2020-12-25,95.6100307062436
Entire home/apt,2020-12-26,96.27954054361423
Entire home/apt,2020-12-27,94.97725463436825
Entire home/apt,2020-12-28,96.30467417263732
Entire home/apt,2020-12-29,99.14909587171614
Entire home/apt,2020-12-30,103.13010349141362
Entire home/apt,2020-12-31,105.87728875241669
Entire home/apt,2021-01-01,102.49129989764586
Entire home/apt,2021-01-02,100.17445695439554
Entire home/apt,2021-01-03,95.3998635278062
Entire home/apt,2021-01-04,91.7948368020016
Entire home/apt,2021-01-05,91.18014329580348
Entire home/apt,2021-01-06,90.78005231434095
Entire home/apt,2021-01-07,90.85738655748891
Entire home/apt,2021-01-08,93.12316615489594
Entire home/apt,2021-01-09,93.13089957921073
Entire home/apt,2021-01-10,90.44853861025815
Entire home/apt,2021-01-11,90.00739224383032
Entire home/apt,2021-01-12,89.97236438075743
Entire home/apt,2021-01-13,90.10155805754577
Entire home/apt,2021-01-14,90.57659501876492
Entire home/apt,2021-01-15,93.3731377231889
Entire home/apt,2021-01-16,93.38928693278744
Entire home/apt,2021-01-17,90.85044922097123
Entire home/apt,2021-01-18,90.66678039349483
Entire home/apt,2021-01-19,90.86932787444559
Entire home/apt,2021-01-20,90.71795746616627
Entire home/apt,2021-01-21,91.00216080973502
Entire home/apt,2021-01-22,93.27715228022291
Entire home/apt,2021-01-23,93.1699078812692
Entire home/apt,2021-01-24,90.79517798248607
Entire home/apt,2021-01-25,90.32525872853407
Entire home/apt,2021-01-26,90.33026270897305
Entire home/apt,2021-01-27,90.44091891277152
Entire home/apt,2021-01-28,90.23598316842943
Entire home/apt,2021-01-29,92.57204594563858
Entire home/apt,2021-01-30,92.58068918457865
Entire home/apt,2021-01-31,90.42761287387695
Entire home/apt,2021-02-01,90.62322301831001
Entire home/apt,2021-02-02,91.29762310929148
Entire home/apt,2021-02-03,91.35914932332537
Entire home/apt,2021-02-04,91.42522461048561
Entire home/apt,2021-02-05,93.28283862163084
Entire home/apt,2021-02-06,93.23973615375867
Entire home/apt,2021-02-07,90.84328443079723
Entire home/apt,2021-02-08,90.14557034004322
Entire home/apt,2021-02-09,90.29944273854203
Entire home/apt,2021-02-10,90.66063914477425
Entire home/apt,2021-02-11,90.8695553281019
Entire home/apt,2021-02-12,93.44603662003867
Entire home/apt,2021-02-13,93.3251450017059
Entire home/apt,2021-02-14,90.9117479813488
Entire home/apt,2021-02-15,90.76720118275901
Entire home/apt,2021-02-16,90.95678380529966
Entire home/apt,2021-02-17,90.98623905379279
Entire home/apt,2021-02-18,91.14625270101217
Entire home/apt,2021-02-19,93.40054588877516
Entire home/apt,2021-02-20,93.4346639372228
Entire home/apt,2021-02-21,90.90117138633003
Entire home/apt,2021-02-22,90.4335266689412
Entire home/apt,2021-02-23,90.32980780166041
Entire home/apt,2021-02-24,90.36563175253042
Entire home/apt,2021-02-25,90.4834527465029
Entire home/apt,2021-02-26,92.85886500625497
Entire home/apt,2021-02-27,93.02695325827362
Entire home/apt,2021-02-28,90.59968156488115
Entire home/apt,2021-03-01,91.41635391788923
Entire home/apt,2021-03-02,91.27180711929944
Entire home/apt,2021-03-03,91.35369043557375
Entire home/apt,2021-03-04,91.27681109973842
Entire home/apt,2021-03-05,93.66825884226088
Entire home/apt,2021-03-06,93.67587853974753
Entire home/apt,2021-03-07,91.1089503013761
Entire home/apt,2021-03-08,91.43455021039463
Entire home/apt,2021-03-09,91.76549528033664
Entire home/apt,2021-03-10,92.13533492550893
Entire home/apt,2021-03-11,92.51950415102922
Entire home/apt,2021-03-12,94.6001364721938
Entire home/apt,2021-03-13,94.34174911861709
Entire home/apt,2021-03-14,91.9611054247697
Entire home/apt,2021-03-15,91.1960650517457
Entire home/apt,2021-03-16,90.72216535880814
Entire home/apt,2021-03-17,90.76799727055612
Entire home/apt,2021-03-18,90.88172409871488
Entire home/apt,2021-03-19,93.09860116001364
Entire home/apt,2021-03-20,93.22131240759695
Entire home/apt,2021-03-21,90.86910042078927
Entire home/apt,2021-03-22,90.85568065506654
Entire home/apt,2021-03-23,90.9274422836347
Entire home/apt,2021-03-24,90.9636074149892
Entire home/apt,2021-03-25,91.13260548163312
Entire home/apt,2021-03-26,93.4062322301831
Entire home/apt,2021-03-27,93.51677470715342
Entire home/apt,2021-03-28,91.07949505288298
Entire home/apt,2021-03-29,91.13351529625838
Entire home/apt,2021-03-30,91.22483793926988
Entire home/apt,2021-03-31,91.26395996815648
Entire home/apt,2021-04-01,91.71591038325941
Entire home/apt,2021-04-02,94.11327192084613
Entire home/apt,2021-04-03,94.30092118730809
Entire home/apt,2021-04-04,92.02774934607073
Entire home/apt,2021-04-05,91.53212782895486
Entire home/apt,2021-04-06,91.510747185261
Entire home/apt,2021-04-07,91.54850449220972
Entire home/apt,2021-04-08,91.67690208120095
Entire home/apt,2021-04-09,94.23450471966336
Entire home/apt,2021-04-10,94.31092914818606
Entire home/apt,2021-04-11,91.88104173774593
Entire home/apt,2021-04-12,91.69316501762766
Entire home/apt,2021-04-13,91.72466734902764
Entire home/apt,2021-04-14,91.52200614124872
Entire home/apt,2021-04-15,91.73103605140453
Entire home/apt,2021-04-16,93.8428295234846
Entire home/apt,2021-04-17,93.86841805982031
Entire home/apt,2021-04-18,91.59865802342773
Entire home/apt,2021-04-19,91.66098032525873
Entire home/apt,2021-04-20,91.76845217786875
Entire home/apt,2021-04-21,91.5846696235642
Entire home/apt,2021-04-22,91.86864551347664
Entire home/apt,2021-04-23,94.17820993972478
Entire home/apt,2021-04-24,94.93176390310474
Entire home/apt,2021-04-25,92.60650517457069
Entire home/apt,2021-04-26,94.23120664164676
Entire home/apt,2021-04-27,94.635391788923
Entire home/apt,2021-04-28,94.77664050949619
Entire home/apt,2021-04-29,94.57341066757648
Entire home/apt,2021-04-30,96.16035482770386
Entire home/apt,2021-05-01,95.57352439440464
Entire home/apt,2021-05-02,92.59729330148983
Entire home/apt,2021-05-03,92.07380871147504
Entire home/apt,2021-05-04,92.01125895598771
Entire home/apt,2021-05-05,91.92914818605709
Entire home/apt,2021-05-06,92.18093938360059
Entire home/apt,2021-05-07,94.56920277493461
Entire home/apt,2021-05-08,94.58751279426816
Entire home/apt,2021-05-09,91.9980666439213
Entire home/apt,2021-05-10,92.07892641874218
Entire home/apt,2021-05-11,92.13829182304106
Entire home/apt,2021-05-12,92.57432048220176
Entire home/apt,2021-05-13,93.28522688502218
Entire home/apt,2021-05-14,95.38894575230297
Entire home/apt,2021-05-15,95.44853861025815
Entire home/apt,2021-05-16,92.3400432161947
Entire home/apt,2021-05-17,92.38405549869213
Entire home/apt,2021-05-18,92.30854088479472
Entire home/apt,2021-05-19,92.37620834754918
Entire home/apt,2021-05-20,92.32639599681565
Entire home/apt,2021-05-21,95.6638234959627
Entire home/apt,2021-05-22,96.00341180484476
Entire home/apt,2021-05-23,93.18219037871033
Entire home/apt,2021-05-24,92.77686796315251
Entire home/apt,2021-05-25,92.44660525417946
Entire home/apt,2021-05-26,92.46411918571592
Entire home/apt,2021-05-27,92.55112020925736
Entire home/apt,2021-05-28,94.90481064483112
Entire home/apt,2021-05-29,95.10553849653134
Entire home/apt,2021-05-30,92.54111224837939
Entire home/apt,2021-05-31,92.42852268850221
Entire home/apt,2021-06-01,92.46935061981121
Entire home/apt,2021-06-02,92.565904696918
Entire home/apt,2021-06-03,92.87888092801091
Entire home/apt,2021-06-04,95.4931195268964
Entire home/apt,2021-06-05,95.75514613897418
Entire home/apt,2021-06-06,92.82599795291709
Entire home/apt,2021-06-07,92.63846241328329
Entire home/apt,2021-06-08,92.53258273626749
Entire home/apt,2021-06-09,92.37689070851813
Entire home/apt,2021-06-10,92.46809962470147
Entire home/apt,2021-06-11,94.97179574661662
Entire home/apt,2021-06-12,95.04298874104401
Entire home/apt,2021-06-13,92.37654952803366
Entire home/apt,2021-06-14,92.34618446491527
Entire home/apt,2021-06-15,92.44012282497441
Entire home/apt,2021-06-16,92.48015466848629
Entire home/apt,2021-06-17,92.5931991356761
Entire home/apt,2021-06-18,95.04344364835664
Entire home/apt,2021-06-19,95.12259752075515
Entire home/apt,2021-06-20,92.46991925395201
Entire home/apt,2021-06-21,92.48242920504947
Entire home/apt,2021-06-22,92.57773228704652
Entire home/apt,2021-06-23,92.50904128283862
Entire home/apt,2021-06-24,92.6221994768566
Entire home/apt,2021-06-25,95.67030592516775
Entire home/apt,2021-06-26,95.70067098828613
Entire home/apt,2021-06-27,92.73672239281247
Entire home/apt,2021-06-28,92.36051404526327
Entire home/apt,2021-06-29,92.41703627885818
Entire home/apt,2021-06-30,92.4263618787672
Entire home/apt,2021-07-01,92.76538155350848
Entire home/apt,2021-07-02,95.39315364494485
Entire home/apt,2021-07-03,95.06266348231547
Entire home/apt,2021-07-04,91.9142499715683
Entire home/apt,2021-07-05,91.76958944615035
Entire home/apt,2021-07-06,91.84078244057773
Entire home/apt,2021-07-07,92.07904014557035
Entire home/apt,2021-07-08,92.27294438758103
Entire home/apt,2021-07-09,94.99977254634368
Entire home/apt,2021-07-10,95.0934834527465
Entire home/apt,2021-07-11,92.13112703286706
Entire home/apt,2021-07-12,91.81985670419652
Entire home/apt,2021-07-13,91.82497441146367
Entire home/apt,2021-07-14,91.84544524053224
Entire home/apt,2021-07-15,92.09723643807574
Entire home/apt,2021-07-16,94.54668486295917
Entire home/apt,2021-07-17,94.58546571136131
Entire home/apt,2021-07-18,91.88263391334016
Entire home/apt,2021-07-19,91.76435801205504
Entire home/apt,2021-07-20,91.83611964062322
Entire home/apt,2021-07-21,91.92550892755601
Entire home/apt,2021-07-22,91.96929375639714
Entire home/apt,2021-07-23,94.69907881269191
Entire home/apt,2021-07-24,94.72443989537132
Entire home/apt,2021-07-25,91.91152052769249
Entire home/apt,2021-07-26,91.72580461730922
Entire home/apt,2021-07-27,91.77971113385648
Entire home/apt,2021-07-28,91.81496645058569
Entire home/apt,2021-07-29,92.0493574434209
Entire home/apt,2021-07-30,94.5579438189469
Entire home/apt,2021-07-31,94.61230524280678
Entire home/apt,2021-08-01,91.84214716251564
Entire home/apt,2021-08-02,91.8254293187763
Entire home/apt,2021-08-03,91.90037529853292
Entire home/apt,2021-08-04,91.88809280109177
Entire home/apt,2021-08-05,92.10496986239053
Entire home/apt,2021-08-06,94.51381780962129
Entire home/apt,2021-08-07,94.62868190606164
Entire home/apt,2021-08-08,91.93494825429319
Entire home/apt,2021-08-09,91.82326850904128
Entire home/apt,2021-08-10,91.88615944501308
Entire home/apt,2021-08-11,91.85727283066075
Entire home/apt,2021-08-12,92.13442511088365
Entire home/apt,2021-08-13,94.47856249289207
Entire home/apt,2021-08-14,94.55748891163425
Entire home/apt,2021-08-15,91.8403275332651
Entire home/apt,2021-08-16,91.68429432503127
Entire home/apt,2021-08-17,91.72023200272945
Entire home/apt,2021-08-18,91.7658364608211
Entire home/apt,2021-08-19,91.96895257591265
Entire home/apt,2021-08-20,94.34686682588422
Entire home/apt,2021-08-21,94.48515864892528
Entire home/apt,2021-08-22,91.8941203229842
Entire home/apt,2021-08-23,91.76015011941317
Entire home/apt,2021-08-24,91.76128738769475
Entire home/apt,2021-08-25,91.74343227567383
Entire home/apt,2021-08-26,91.91504605936541
Entire home/apt,2021-08-27,94.3011486409644
Entire home/apt,2021-08-28,94.48311156601842
Entire home/apt,2021-08-29,91.86591606960081
Hotel room,2020-09-01,108.77058823529411
Hotel room,2020-09-02,108.84117647058824
Hotel room,2020-09-03,111.58235294117647
Hotel room,2020-09-04,123.11176470588235
Hotel room,2020-09-05,124.8529411764706
Hotel room,2020-09-06,107.23529411764706
Hotel room,2020-09-07,113.94117647058823
Hotel room,2020-09-08,115.20588235294117
Hotel room,2020-09-09,114.56470588235294
Hotel room,2020-09-10,115.07058823529412
Hotel room,2020-09-11,124.0
Hotel room,2020-09-12,126.13529411764706
Hotel room,2020-09-13,110.0764705882353
Hotel room,2020-09-14,116.3529411764706
Hotel room,2020-09-15,116.52352941176471
Hotel room,2020-09-16,116.12352941176471
Hotel room,2020-09-17,115.95882352941176
Hotel room,2020-09-18,128.97058823529412
Hotel room,2020-09-19,129.26470588235293
Hotel room,2020-09-20,111.2
Hotel room,2020-09-21,117.80588235294118
Hotel room,2020-09-22,123.74705882352941
Hotel room,2020-09-23,125.03529411764706
Hotel room,2020-09-24,124.56470588235294
Hotel room,2020-09-25,135.3294117647059
Hotel room,2020-09-26,140.16470588235293
Hotel room,2020-09-27,120.20588235294117
Hotel room,2020-09-28,123.30588235294118
Hotel room,2020-09-29,122.89411764705882
Hotel room,2020-09-30,122.58235294117647
Hotel room,2020-10-01,120.52352941176471
Hotel room,2020-10-02,133.4
Hotel room,2020-10-03,135.41176470588235
Hotel room,2020-10-04,115.98823529411764
Hotel room,2020-10-05,124.52352941176471
Hotel room,2020-10-06,124.66470588235295
Hotel room,2020-10-07,124.05882352941177
Hotel room,2020-10-08,125.08235294117647
Hotel room,2020-10-09,130.89411764705883
Hotel room,2020-10-10,133.09411764705882
Hotel room,2020-10-11,118.0
Hotel room,2020-10-12,124.62352941176471
Hotel room,2020-10-13,124.95294117647059
Hotel room,2020-10-14,123.69411764705882
Hotel room,2020-10-15,124.56470588235294
Hotel room,2020-10-16,132.7058823529412
Hotel room,2020-10-17,133.45294117647057
Hotel room,2020-10-18,117.86470588235294
Hotel room,2020-10-19,121.51176470588236
Hotel room,2020-10-20,122.45882352941176
Hotel room,2020-10-21,122.05882352941177
Hotel room,2020-10-22,124.85882352941177
Hotel room,2020-10-23,134.68823529411765
Hotel room,2020-10-24,133.78823529411764
Hotel room,2020-10-25,118.02352941176471
Hotel room,2020-10-26,123.43529411764706
Hotel room,2020-10-27,124.74117647058823
Hotel room,2020-10-28,124.80588235294118
Hotel room,2020-10-29,124.44117647058823
Hotel room,2020-10-30,133.68235294117648
Hotel room,2020-10-31,135.56470588235294
Hotel room,2020-11-01,112.36470588235294
Hotel room,2020-11-02,122.78235294117647
Hotel room,2020-11-03,123.78823529411764
Hotel room,2020-11-04,126.24117647058823
Hotel room,2020-11-05,126.74117647058823
Hotel room,2020-11-06,133.36470588235295
Hotel room,2020-11-07,134.0705882352941
Hotel room,2020-11-08,115.38235294117646
Hotel room,2020-11-09,122.0
Hotel room,2020-11-10,125.45294117647059
Hotel room,2020-11-11,127.07058823529412
Hotel room,2020-11-12,126.84705882352941
Hotel room,2020-11-13,131.90588235294118
Hotel room,2020-11-14,133.24117647058824
Hotel room,2020-11-15,115.02352941176471
Hotel room,2020-11-16,123.2764705882353
Hotel room,2020-11-17,125.31176470588235
Hotel room,2020-11-18,126.31764705882352
Hotel room,2020-11-19,126.36470588235294
Hotel room,2020-11-20,132.35294117647058
Hotel room,2020-11-21,133.4764705882353
Hotel room,2020-11-22,115.52941176470588
Hotel room,2020-11-23,121.92941176470588
Hotel room,2020-11-24,125.08823529411765
Hotel room,2020-11-25,126.94117647058823
Hotel room,2020-11-26,127.54117647058824
Hotel room,2020-11-27,136.49411764705883
Hotel room,2020-11-28,138.13529411764705
Hotel room,2020-11-29,115.8
Hotel room,2020-11-30,122.3
Hotel room,2020-12-01,125.38823529411765
Hotel room,2020-12-02,127.37058823529412
Hotel room,2020-12-03,129.8235294117647
Hotel room,2020-12-04,139.0705882352941
Hotel room,2020-12-05,139.2764705882353
Hotel room,2020-12-06,116.36470588235294
Hotel room,2020-12-07,122.18235294117648
Hotel room,2020-12-08,124.9235294117647
Hotel room,2020-12-09,124.56470588235294
